age	sex	1981	1986	1991	1996	2001	2006	2010	2011	2012
0 - 4	F	200200	200600	177500	181300	130800	102600	113800	119700	126100
0 - 4	M	214500	215900	191700	197200	142000	110400	124200	129500	136400
5 - 9	F	200900	201600	196900	187200	191200	151800	122100	117400	118500
5 - 9	M	215300	217400	213000	200400	205200	162300	131100	125800	125800
10 - 14	F	216700	209000	201200	212000	208400	200800	171500	160200	148200
10 - 14	M	229700	229200	218400	226000	220900	211300	181500	170900	158200
15 - 19	F	276200	217500	200000	216400	216700	213900	207700	206400	204100
15 - 19	M	295700	237200	217600	229300	229300	222300	220300	217300	215000
20 - 24	F	287500	278500	227400	239000	242800	246800	231800	229800	231700
20 - 24	M	318100	290000	227600	236700	225100	225600	219900	221700	226300
25 - 29	F	235600	298000	303600	289300	283600	278500	304600	304600	303200
25 - 29	M	270500	315400	294100	249400	240500	223800	230300	229500	225900
30 - 34	F	190600	245000	308800	347800	326400	309600	315900	324200	334200
30 - 34	M	231400	267000	317600	315100	255900	238800	223300	225800	228400
35 - 39	F	108600	196500	250200	336500	370500	331400	332000	328100	332600
35 - 39	M	142800	224200	265900	333600	312700	248000	238700	234500	234400
40 - 44	F	113300	114100	197000	268800	343300	365300	329900	330000	334900
40 - 44	M	146100	140600	224100	275600	335400	304400	250000	242700	241400
45 - 49	F	123600	117500	114300	212400	269200	335700	357900	356400	351700
45 - 49	M	147100	141300	140700	236000	270500	323700	307700	295300	286400
50 - 54	F	124600	126900	115000	119700	210300	267600	317700	324900	329600
50 - 54	M	141300	147600	140200	144600	226700	264000	307700	312800	312000
55 - 59	F	107400	121600	123300	118500	116600	207800	247400	259200	273200
55 - 59	M	114100	132300	140400	140300	136000	214700	243700	253900	267500
60 - 64	F	93300	107600	118000	128100	117100	116300	186800	204500	215000
60 - 64	M	94000	108100	125100	140600	133900	127600	188200	205100	213600
65 - 69	F	76300	85900	98900	119600	121900	116600	107400	112800	129600
65 - 69	M	68200	79700	93600	118600	128200	125200	119300	121500	134900
70 - 74	F	57000	68800	75500	96200	107900	115900	116900	113700	108300
70 - 74	M	39900	55600	64500	84400	102300	112400	116700	116700	112800
75 - 79	F	37300	43600	53700	68200	80500	96300	107200	108200	109900
75 - 79	M	19300	26800	39700	52400	63600	82300	96300	97000	99100
80 - 84	F	21700	28400	30300	43400	52100	67900	79600	83800	85700
80 - 84	M	8200	11700	16500	27100	34200	44800	57600	62300	65400
> 85	F	12900	18600	22200	31100	43000	62200	79700	84700	90800
> 85	M	3500	4900	7500	12700	19600	28500	37800	40700	43800
